,origin,destination,price,airlines,stops,duration
0,HBE,MLA,1058.4,Turkish Airlines,1,425
1,HBE,MLA,1058.4,Turkish Airlines,1,930
4,HBE,PRG,519.48,طيران الجزيرة‎,2,1335
5,HBE,PRG,545.6700000000001,طيران الجزيرة‎,2,1335
6,HBE,PRG,611.82,Air Arabia,2,1375
7,HBE,PRG,619.11,Air Arabia,2,1430
10,HBE,DOH,334.53000000000003,Air Arabia,1,525
12,HBE,DOH,337.77000000000004,Air Arabia,1,525
13,HBE,DOH,349.11,Air Arabia,1,525
14,HBE,HEL,1215.27,Turkish Airlines,1,470
15,HBE,HEL,1215.27,Turkish Airlines,1,890
16,HBE,HEL,1240.65,Turkish Airlines,1,470
17,HBE,HEL,1240.65,Turkish Airlines,1,890
21,HBE,BKK,665.01,Air Arabia,1,735
22,HBE,BKK,711.99,Air Arabia,1,1600
23,HBE,BKK,737.6400000000001,Air Arabia,1,735
29,HBE,HNL,2076.3,Turkish Airlines,2,1870
30,HBE,HNL,2076.3,Turkish Airlines,2,1986
31,HBE,HNL,2116.8,Turkish Airlines,2,1870
32,HBE,HNL,2116.8,Turkish Airlines,2,1986
37,HBE,BOM,612.63,Air Arabia,1,1055
38,HBE,BOM,612.63,Air Arabia,1,1475
39,HBE,BOM,1263.6000000000001,Turkish Airlines,1,1360
40,HBE,CPH,1106.73,Turkish Airlines,1,660
42,HBE,CPH,1130.22,Turkish Airlines,1,660
46,HBE,CPH,1133.19,Turkish Airlines,1,935
47,HBE,ICN,1459.0800000000002,Air Arabia,2,2155
48,HBE,ICN,1469.88,Air Arabia,2,2800
49,HBE,ICN,1625.4,Air Arabia,2,2295
50,HBE,ICN,1665.9,Turkish Airlines,1,1910
53,HBE,CPT,1304.1000000000001,Turkish Airlines,1,1980
54,HBE,CPT,1312.2,flydubai,1,2190
55,HBE,CPT,1441.8000000000002,flydubai,2,2370
60,HBE,PAR,904.5000000000001,SAUDIA,1,1105
61,HBE,PAR,918.0000000000001,SAUDIA,1,1105
63,HBE,IST,297.0,طيران الجزيرة‎,1,1855
64,HBE,IST,350.19,Air Arabia,2,1275
65,HBE,IST,352.89000000000004,Air Arabia,2,1275
66,HBE,IST,355.59000000000003,Air Arabia,2,1275
67,HBE,OSL,815.1300000000001,Turkish Airlines,1,490
68,HBE,OSL,849.96,Turkish Airlines,1,490
69,HBE,OSL,869.4000000000001,Turkish Airlines,1,490
70,HBE,OSL,1023.0300000000001,Turkish Airlines,1,490
73,HBE,BNE,1869.21,flydubai,1,1400
74,HBE,BNE,1869.21,flydubai,1,2355
75,HBE,BNE,1933.2,flydubai,1,1400
81,HBE,BNE,1933.2,flydubai,1,2355
85,HBE,BER,701.46,Turkish Airlines,1,545
86,HBE,BER,701.46,Turkish Airlines,1,660
87,HBE,BER,722.5200000000001,Turkish Airlines,1,545
88,HBE,BER,722.5200000000001,Turkish Airlines,1,660
91,HBE,TYO,1468.8000000000002,Turkish Airlines,1,2010
92,HBE,TYO,1582.2,Turkish Airlines,1,1395
93,HBE,TYO,1665.3600000000001,Turkish Airlines,2,2195
94,HBE,TYO,1665.3600000000001,Turkish Airlines,2,2765
97,HBE,DXB,261.90000000000003,SAUDIA,1,415
98,HBE,DXB,269.46000000000004,طيران الجزيرة‎,1,605
99,HBE,DXB,291.33000000000004,SAUDIA,1,745
100,HBE,DXB,294.57,طيران الجزيرة‎,1,605
101,HBE,LOS,1304.1000000000001,Turkish Airlines,1,1035
102,HBE,LOS,1412.1000000000001,flydubai,1,1065
103,HBE,LOS,1768.5000000000002,flydubai,2,2300
104,HBE,LOS,1822.7700000000002,Turkish Airlines,1,1035
107,HBE,LOS,1566.0,SAUDIA,2,1020
108,HBE,LOS,1566.0,SAUDIA,2,1555
109,HBE,STO,951.48,Turkish Airlines,1,480
110,HBE,STO,951.48,Turkish Airlines,1,885
111,HBE,STO,952.83,Turkish Airlines,1,480
115,HBE,DUB,658.8000000000001,Turkish Airlines,1,645
118,HBE,DUB,746.5500000000001,Turkish Airlines,1,645
121,HBE,MEL,1490.4,Turkish Airlines,3,2510
123,HBE,MEL,1506.6000000000001,Turkish Airlines,3,2510
127,HBE,MEX,2456.73,Turkish Airlines,3,2205
130,HBE,MEX,2479.6800000000003,Turkish Airlines,2,2485
133,HBE,ZRH,712.8000000000001,Turkish Airlines,1,420
135,HBE,ZRH,712.8000000000001,Turkish Airlines,1,675
136,HBE,ZRH,712.8000000000001,Turkish Airlines,1,865
139,HBE,SYD,1420.2,Turkish Airlines,3,2595
141,HBE,SYD,1436.4,Turkish Airlines,3,2595
142,HBE,SYD,1490.4,Turkish Airlines,2,2595
146,HBE,KUL,641.5200000000001,طيران الجزيرة‎,2,3020
152,HBE,ORD,1431.0,Turkish Airlines,1,1325
153,HBE,ORD,1455.3000000000002,Turkish Airlines,1,1325
155,HBE,ORD,2108.7000000000003,Turkish Airlines,2,2709
158,HBE,SFO,1652.4,Turkish Airlines,1,1370
159,HBE,SFO,1665.9,Turkish Airlines,1,1370
160,HBE,SFO,2062.8,Turkish Airlines,2,2384
164,HBE,HKG,1252.8000000000002,flydubai,1,970
167,HBE,HKG,1255.5,flydubai,1,970
170,HBE,WAW,708.48,Turkish Airlines,1,910
171,HBE,WAW,748.98,Turkish Airlines,1,400
172,HBE,WAW,748.98,Turkish Airlines,1,910
173,HBE,WAW,756.0,Turkish Airlines,1,400
176,HBE,LIS,1306.8000000000002,Turkish Airlines,1,820
177,HBE,LIS,1433.7,Turkish Airlines,1,820
178,HBE,LIS,1679.4,Turkish Airlines,2,1300
179,HBE,LIS,1679.4,Turkish Airlines,2,2015
182,HBE,ATH,556.2,Turkish Airlines,1,1395
183,HBE,ATH,575.1,Turkish Airlines,1,1395
184,HBE,ATH,839.7,Turkish Airlines,1,305
185,HBE,ATH,861.3000000000001,Turkish Airlines,1,305
193,HBE,SIN,990.9000000000001,flydubai,1,1000
194,HBE,SIN,1009.8000000000001,Wizz Air,2,1140
197,HBE,MAD,673.9200000000001,Air Arabia,2,2045
198,HBE,DEL,599.4000000000001,Air Arabia,1,855
199,HBE,DEL,606.69,Air Arabia,1,855
200,HBE,DEL,1176.93,Air Arabia,1,855
201,HBE,DEL,1444.5,Turkish Airlines,1,1340
204,HBE,SCL,2635.4700000000003,SAUDIA,3,2535
205,HBE,SCL,2891.4300000000003,SAUDIA,3,2535
206,HBE,SCL,2891.4300000000003,SAUDIA,3,3070
207,HBE,SCL,2952.4500000000003,طيران الجزيرة‎,2,2450
210,HBE,LON,664.2,Air Arabia,2,1605
211,HBE,LON,689.58,Air Arabia,2,1605
