origin,destination,price,airlines,stops,duration,search_url
HBE,MLA,"AED 3,920",Turkish Airlines,1 stop,7h 05m,https://www.kayak.ae/flights/HBE-MLA/2025-04-22/2025-04-29?sort=price_a
HBE,MLA,"AED 3,920",Turkish Airlines,1 stop,15h 30m,https://www.kayak.ae/flights/HBE-MLA/2025-04-22/2025-04-29?sort=price_a
HBE,MLA,"AED 3,920",Turkish Airlines,1 stop,7h 05m,https://www.kayak.ae/flights/HBE-MLA/2025-04-22/2025-04-29?sort=price_a
HBE,MLA,"AED 3,920",Turkish Airlines,1 stop,15h 30m,https://www.kayak.ae/flights/HBE-MLA/2025-04-22/2025-04-29?sort=price_a
HBE,PRG,"AED 1,924",طيران الجزيرة‎,2 stops,22h 15m,https://www.kayak.ae/flights/HBE-PRG/2025-04-22/2025-04-29?sort=price_a
HBE,PRG,"AED 2,021",طيران الجزيرة‎,2 stops,22h 15m,https://www.kayak.ae/flights/HBE-PRG/2025-04-22/2025-04-29?sort=price_a
HBE,PRG,"AED 2,266",Air Arabia,2 stops,22h 55m,https://www.kayak.ae/flights/HBE-PRG/2025-04-22/2025-04-29?sort=price_a
HBE,PRG,"AED 2,293",Air Arabia,2 stops,23h 50m,https://www.kayak.ae/flights/HBE-PRG/2025-04-22/2025-04-29?sort=price_a
HBE,PRG,,,,,https://www.kayak.ae/flights/HBE-PRG/2025-04-22/2025-04-29?sort=price_a
HBE,PRG,,,,,https://www.kayak.ae/flights/HBE-PRG/2025-04-22/2025-04-29?sort=price_a
HBE,DOH,"AED 1,239",Air Arabia,1 stop,8h 45m,https://www.kayak.ae/flights/HBE-DOH/2025-04-22/2025-04-29?sort=price_a
HBE,DOH,"AED 1,239",Air Arabia,1 stop,8h 45m,https://www.kayak.ae/flights/HBE-DOH/2025-04-22/2025-04-29?sort=price_a
HBE,DOH,"AED 1,251",Air Arabia,1 stop,8h 45m,https://www.kayak.ae/flights/HBE-DOH/2025-04-22/2025-04-29?sort=price_a
HBE,DOH,"AED 1,293",Air Arabia,1 stop,8h 45m,https://www.kayak.ae/flights/HBE-DOH/2025-04-22/2025-04-29?sort=price_a
HBE,HEL,"AED 4,501",Turkish Airlines,1 stop,7h 50m,https://www.kayak.ae/flights/HBE-HEL/2025-04-22/2025-04-29?sort=price_a
HBE,HEL,"AED 4,501",Turkish Airlines,1 stop,14h 50m,https://www.kayak.ae/flights/HBE-HEL/2025-04-22/2025-04-29?sort=price_a
HBE,HEL,"AED 4,595",Turkish Airlines,1 stop,7h 50m,https://www.kayak.ae/flights/HBE-HEL/2025-04-22/2025-04-29?sort=price_a
HBE,HEL,"AED 4,595",Turkish Airlines,1 stop,14h 50m,https://www.kayak.ae/flights/HBE-HEL/2025-04-22/2025-04-29?sort=price_a
HBE,HEL,,,,,https://www.kayak.ae/flights/HBE-HEL/2025-04-22/2025-04-29?sort=price_a
HBE,HEL,,,,,https://www.kayak.ae/flights/HBE-HEL/2025-04-22/2025-04-29?sort=price_a
HBE,BKK,,,,,https://www.kayak.ae/flights/HBE-BKK/2025-04-22/2025-04-29?sort=price_a
HBE,BKK,"AED 2,463",Air Arabia,1 stop,12h 15m,https://www.kayak.ae/flights/HBE-BKK/2025-04-22/2025-04-29?sort=price_a
HBE,BKK,"AED 2,637",Air Arabia,1 stop,26h 40m,https://www.kayak.ae/flights/HBE-BKK/2025-04-22/2025-04-29?sort=price_a
HBE,BKK,"AED 2,732",Air Arabia,1 stop,12h 15m,https://www.kayak.ae/flights/HBE-BKK/2025-04-22/2025-04-29?sort=price_a
HBE,BKK,,,,,https://www.kayak.ae/flights/HBE-BKK/2025-04-22/2025-04-29?sort=price_a
HBE,BKK,,,,,https://www.kayak.ae/flights/HBE-BKK/2025-04-22/2025-04-29?sort=price_a
HBE,BKK,,,,,https://www.kayak.ae/flights/HBE-BKK/2025-04-22/2025-04-29?sort=price_a
HBE,BKK,,,,,https://www.kayak.ae/flights/HBE-BKK/2025-04-22/2025-04-29?sort=price_a
HBE,BKK,,,,,https://www.kayak.ae/flights/HBE-BKK/2025-04-22/2025-04-29?sort=price_a
HBE,HNL,"AED 7,690",Turkish Airlines,2 stops,31h 10m,https://www.kayak.ae/flights/HBE-HNL/2025-04-22/2025-04-29?sort=price_a
HBE,HNL,"AED 7,690",Turkish Airlines,2 stops,33h 06m,https://www.kayak.ae/flights/HBE-HNL/2025-04-22/2025-04-29?sort=price_a
HBE,HNL,"AED 7,840",Turkish Airlines,2 stops,31h 10m,https://www.kayak.ae/flights/HBE-HNL/2025-04-22/2025-04-29?sort=price_a
HBE,HNL,"AED 7,840",Turkish Airlines,2 stops,33h 06m,https://www.kayak.ae/flights/HBE-HNL/2025-04-22/2025-04-29?sort=price_a
HBE,HNL,,,,,https://www.kayak.ae/flights/HBE-HNL/2025-04-22/2025-04-29?sort=price_a
HBE,HNL,,,,,https://www.kayak.ae/flights/HBE-HNL/2025-04-22/2025-04-29?sort=price_a
HBE,HNL,"AED 7,840",Turkish Airlines,2 stops,31h 10m,https://www.kayak.ae/flights/HBE-HNL/2025-04-22/2025-04-29?sort=price_a
HBE,HNL,"AED 7,840",Turkish Airlines,2 stops,33h 06m,https://www.kayak.ae/flights/HBE-HNL/2025-04-22/2025-04-29?sort=price_a
HBE,BOM,"AED 2,269",Air Arabia,1 stop,17h 35m,https://www.kayak.ae/flights/HBE-BOM/2025-04-22/2025-04-29?sort=price_a
HBE,BOM,"AED 2,269",Air Arabia,1 stop,24h 35m,https://www.kayak.ae/flights/HBE-BOM/2025-04-22/2025-04-29?sort=price_a
HBE,BOM,"AED 4,680",Turkish Airlines,1 stop,22h 40m,https://www.kayak.ae/flights/HBE-BOM/2025-04-22/2025-04-29?sort=price_a
HBE,CPH,"AED 4,099",Turkish Airlines,1 stop,11h 00m,https://www.kayak.ae/flights/HBE-CPH/2025-04-22/2025-04-29?sort=price_a
HBE,CPH,"AED 4,099",Turkish Airlines,1 stop,11h 00m,https://www.kayak.ae/flights/HBE-CPH/2025-04-22/2025-04-29?sort=price_a
HBE,CPH,"AED 4,186",Turkish Airlines,1 stop,11h 00m,https://www.kayak.ae/flights/HBE-CPH/2025-04-22/2025-04-29?sort=price_a
HBE,CPH,"AED 4,186",Turkish Airlines,1 stop,11h 00m,https://www.kayak.ae/flights/HBE-CPH/2025-04-22/2025-04-29?sort=price_a
HBE,CPH,,,,,https://www.kayak.ae/flights/HBE-CPH/2025-04-22/2025-04-29?sort=price_a
HBE,CPH,,,,,https://www.kayak.ae/flights/HBE-CPH/2025-04-22/2025-04-29?sort=price_a
HBE,CPH,"AED 4,197",Turkish Airlines,1 stop,15h 35m,https://www.kayak.ae/flights/HBE-CPH/2025-04-22/2025-04-29?sort=price_a
HBE,ICN,"AED 5,404",Air Arabia,2 stops,35h 55m,https://www.kayak.ae/flights/HBE-ICN/2025-04-22/2025-04-29?sort=price_a
HBE,ICN,"AED 5,444",Air Arabia,2 stops,46h 40m,https://www.kayak.ae/flights/HBE-ICN/2025-04-22/2025-04-29?sort=price_a
HBE,ICN,"AED 6,020",Air Arabia,2 stops,38h 15m,https://www.kayak.ae/flights/HBE-ICN/2025-04-22/2025-04-29?sort=price_a
HBE,ICN,"AED 6,170",Turkish Airlines,1 stop,31h 50m,https://www.kayak.ae/flights/HBE-ICN/2025-04-22/2025-04-29?sort=price_a
HBE,ICN,,,,,https://www.kayak.ae/flights/HBE-ICN/2025-04-22/2025-04-29?sort=price_a
HBE,ICN,,,,,https://www.kayak.ae/flights/HBE-ICN/2025-04-22/2025-04-29?sort=price_a
HBE,CPT,"AED 4,830",Turkish Airlines,1 stop,33h 00m,https://www.kayak.ae/flights/HBE-CPT/2025-04-22/2025-04-29?sort=price_a
HBE,CPT,"AED 4,860",flydubai,1 stop,36h 30m,https://www.kayak.ae/flights/HBE-CPT/2025-04-22/2025-04-29?sort=price_a
HBE,CPT,"AED 5,340",flydubai,2 stops,39h 30m,https://www.kayak.ae/flights/HBE-CPT/2025-04-22/2025-04-29?sort=price_a
HBE,CPT,"AED 5,340",flydubai,2 stops,39h 30m,https://www.kayak.ae/flights/HBE-CPT/2025-04-22/2025-04-29?sort=price_a
HBE,CPT,,,,,https://www.kayak.ae/flights/HBE-CPT/2025-04-22/2025-04-29?sort=price_a
HBE,CPT,,,,,https://www.kayak.ae/flights/HBE-CPT/2025-04-22/2025-04-29?sort=price_a
HBE,PAR,,,,,https://www.kayak.ae/flights/HBE-PAR/2025-04-22/2025-04-29?sort=price_a
HBE,PAR,"AED 3,350",SAUDIA,1 stop,18h 25m,https://www.kayak.ae/flights/HBE-PAR/2025-04-22/2025-04-29?sort=price_a
HBE,PAR,"AED 3,400",SAUDIA,1 stop,18h 25m,https://www.kayak.ae/flights/HBE-PAR/2025-04-22/2025-04-29?sort=price_a
HBE,PAR,"AED 3,400",SAUDIA,1 stop,18h 25m,https://www.kayak.ae/flights/HBE-PAR/2025-04-22/2025-04-29?sort=price_a
HBE,IST,"AED 1,100",طيران الجزيرة‎,1 stop,30h 55m,https://www.kayak.ae/flights/HBE-IST/2025-04-22/2025-04-29?sort=price_a
HBE,IST,"AED 1,297",Air Arabia,2 stops,21h 15m,https://www.kayak.ae/flights/HBE-IST/2025-04-22/2025-04-29?sort=price_a
HBE,IST,"AED 1,307",Air Arabia,2 stops,21h 15m,https://www.kayak.ae/flights/HBE-IST/2025-04-22/2025-04-29?sort=price_a
HBE,IST,"AED 1,317",Air Arabia,2 stops,21h 15m,https://www.kayak.ae/flights/HBE-IST/2025-04-22/2025-04-29?sort=price_a
HBE,OSL,"AED 3,019",Turkish Airlines,1 stop,8h 10m,https://www.kayak.ae/flights/HBE-OSL/2025-04-22/2025-04-29?sort=price_a
HBE,OSL,"AED 3,148",Turkish Airlines,1 stop,8h 10m,https://www.kayak.ae/flights/HBE-OSL/2025-04-22/2025-04-29?sort=price_a
HBE,OSL,"AED 3,220",Turkish Airlines,1 stop,8h 10m,https://www.kayak.ae/flights/HBE-OSL/2025-04-22/2025-04-29?sort=price_a
HBE,OSL,"AED 3,789",Turkish Airlines,1 stop,8h 10m,https://www.kayak.ae/flights/HBE-OSL/2025-04-22/2025-04-29?sort=price_a
HBE,OSL,,,,,https://www.kayak.ae/flights/HBE-OSL/2025-04-22/2025-04-29?sort=price_a
HBE,OSL,,,,,https://www.kayak.ae/flights/HBE-OSL/2025-04-22/2025-04-29?sort=price_a
HBE,BNE,"AED 6,923",flydubai,1 stop,23h 20m,https://www.kayak.ae/flights/HBE-BNE/2025-04-22/2025-04-29?sort=price_a
HBE,BNE,"AED 6,923",flydubai,1 stop,39h 15m,https://www.kayak.ae/flights/HBE-BNE/2025-04-22/2025-04-29?sort=price_a
HBE,BNE,"AED 7,160",flydubai,1 stop,23h 20m,https://www.kayak.ae/flights/HBE-BNE/2025-04-22/2025-04-29?sort=price_a
HBE,BNE,"AED 7,160",flydubai,1 stop,23h 20m,https://www.kayak.ae/flights/HBE-BNE/2025-04-22/2025-04-29?sort=price_a
HBE,BNE,,,,,https://www.kayak.ae/flights/HBE-BNE/2025-04-22/2025-04-29?sort=price_a
HBE,BNE,,,,,https://www.kayak.ae/flights/HBE-BNE/2025-04-22/2025-04-29?sort=price_a
HBE,BNE,"AED 7,160",flydubai,1 stop,23h 20m,https://www.kayak.ae/flights/HBE-BNE/2025-04-22/2025-04-29?sort=price_a
HBE,BNE,"AED 7,160",flydubai,1 stop,23h 20m,https://www.kayak.ae/flights/HBE-BNE/2025-04-22/2025-04-29?sort=price_a
HBE,BNE,"AED 7,160",flydubai,1 stop,39h 15m,https://www.kayak.ae/flights/HBE-BNE/2025-04-22/2025-04-29?sort=price_a
HBE,BNE,"AED 7,160",flydubai,1 stop,39h 15m,https://www.kayak.ae/flights/HBE-BNE/2025-04-22/2025-04-29?sort=price_a
HBE,BNE,"AED 7,160",flydubai,1 stop,39h 15m,https://www.kayak.ae/flights/HBE-BNE/2025-04-22/2025-04-29?sort=price_a
HBE,BNE,"AED 7,160",flydubai,1 stop,39h 15m,https://www.kayak.ae/flights/HBE-BNE/2025-04-22/2025-04-29?sort=price_a
HBE,BER,"AED 2,598",Turkish Airlines,1 stop,9h 05m,https://www.kayak.ae/flights/HBE-BER/2025-04-22/2025-04-29?sort=price_a
HBE,BER,"AED 2,598",Turkish Airlines,1 stop,11h 00m,https://www.kayak.ae/flights/HBE-BER/2025-04-22/2025-04-29?sort=price_a
HBE,BER,"AED 2,676",Turkish Airlines,1 stop,9h 05m,https://www.kayak.ae/flights/HBE-BER/2025-04-22/2025-04-29?sort=price_a
HBE,BER,"AED 2,676",Turkish Airlines,1 stop,11h 00m,https://www.kayak.ae/flights/HBE-BER/2025-04-22/2025-04-29?sort=price_a
HBE,BER,,,,,https://www.kayak.ae/flights/HBE-BER/2025-04-22/2025-04-29?sort=price_a
HBE,BER,,,,,https://www.kayak.ae/flights/HBE-BER/2025-04-22/2025-04-29?sort=price_a
HBE,TYO,"AED 5,440",Turkish Airlines,1 stop,33h 30m,https://www.kayak.ae/flights/HBE-TYO/2025-04-22/2025-04-29?sort=price_a
HBE,TYO,"AED 5,860",Turkish Airlines,1 stop,23h 15m,https://www.kayak.ae/flights/HBE-TYO/2025-04-22/2025-04-29?sort=price_a
HBE,TYO,"AED 6,168",Turkish Airlines,2 stops,36h 35m,https://www.kayak.ae/flights/HBE-TYO/2025-04-22/2025-04-29?sort=price_a
HBE,TYO,"AED 6,168",Turkish Airlines,2 stops,46h 05m,https://www.kayak.ae/flights/HBE-TYO/2025-04-22/2025-04-29?sort=price_a
HBE,TYO,,,,,https://www.kayak.ae/flights/HBE-TYO/2025-04-22/2025-04-29?sort=price_a
HBE,TYO,,,,,https://www.kayak.ae/flights/HBE-TYO/2025-04-22/2025-04-29?sort=price_a
HBE,DXB,AED 970,SAUDIA,1 stop,6h 55m,https://www.kayak.ae/flights/HBE-DXB/2025-04-22/2025-04-29?sort=price_a
HBE,DXB,AED 998,طيران الجزيرة‎,1 stop,10h 05m,https://www.kayak.ae/flights/HBE-DXB/2025-04-22/2025-04-29?sort=price_a
HBE,DXB,"AED 1,079",SAUDIA,1 stop,12h 25m,https://www.kayak.ae/flights/HBE-DXB/2025-04-22/2025-04-29?sort=price_a
HBE,DXB,"AED 1,091",طيران الجزيرة‎,1 stop,10h 05m,https://www.kayak.ae/flights/HBE-DXB/2025-04-22/2025-04-29?sort=price_a
HBE,LOS,"AED 4,830",Turkish Airlines,1 stop,17h 15m,https://www.kayak.ae/flights/HBE-LOS/2025-04-22/2025-04-29?sort=price_a
HBE,LOS,"AED 5,230",flydubai,1 stop,17h 45m,https://www.kayak.ae/flights/HBE-LOS/2025-04-22/2025-04-29?sort=price_a
HBE,LOS,"AED 6,550",flydubai,2 stops,38h 20m,https://www.kayak.ae/flights/HBE-LOS/2025-04-22/2025-04-29?sort=price_a
HBE,LOS,"AED 6,751",Turkish Airlines,1 stop,17h 15m,https://www.kayak.ae/flights/HBE-LOS/2025-04-22/2025-04-29?sort=price_a
HBE,LOS,,,,,https://www.kayak.ae/flights/HBE-LOS/2025-04-22/2025-04-29?sort=price_a
HBE,LOS,,,,,https://www.kayak.ae/flights/HBE-LOS/2025-04-22/2025-04-29?sort=price_a
HBE,LOS,"AED 5,800",SAUDIA,2 stops,17h 00m,https://www.kayak.ae/flights/HBE-LOS/2025-04-22/2025-04-29?sort=price_a
HBE,LOS,"AED 5,800",SAUDIA,2 stops,25h 55m,https://www.kayak.ae/flights/HBE-LOS/2025-04-22/2025-04-29?sort=price_a
HBE,STO,"AED 3,524",Turkish Airlines,1 stop,8h 00m,https://www.kayak.ae/flights/HBE-STO/2025-04-22/2025-04-29?sort=price_a
