origin,destination,price,airlines,stops,duration,search_url
JFK,BUD,"AED 2,498",United Airlines,1 stop,13h 10m,https://www.kayak.ae/flights/JFK-BUD/2025-04-23/2025-04-30?sort=price_a
JFK,BUD,"AED 2,519",SWISS,1 stop,10h 30m,https://www.kayak.ae/flights/JFK-BUD/2025-04-23/2025-04-30?sort=price_a
JFK,BUD,"AED 2,519",SWISS,1 stop,11h 35m,https://www.kayak.ae/flights/JFK-BUD/2025-04-23/2025-04-30?sort=price_a
JFK,BUD,"AED 2,527",United Airlines,1 stop,13h 10m,https://www.kayak.ae/flights/JFK-BUD/2025-04-23/2025-04-30?sort=price_a
JFK,BUD,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/JFK-BUD/2025-04-23/2025-04-30?sort=price_a
JFK,BUD,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/JFK-BUD/2025-04-23/2025-04-30?sort=price_a
JFK,TPE,"AED 4,270",ANA,1 stop,22h 10m,https://www.kayak.ae/flights/JFK-TPE/2025-04-23/2025-04-30?sort=price_a
JFK,TPE,"AED 4,270",ANA,1 stop,22h 10m,https://www.kayak.ae/flights/JFK-TPE/2025-04-23/2025-04-30?sort=price_a
JFK,TPE,"AED 5,026",Cathay Pacific,1 stop,21h 45m,https://www.kayak.ae/flights/JFK-TPE/2025-04-23/2025-04-30?sort=price_a
JFK,TPE,"AED 5,026",Cathay Pacific,1 stop,22h 05m,https://www.kayak.ae/flights/JFK-TPE/2025-04-23/2025-04-30?sort=price_a
JFK,TPE,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/JFK-TPE/2025-04-23/2025-04-30?sort=price_a
JFK,TPE,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/JFK-TPE/2025-04-23/2025-04-30?sort=price_a
LAX,ICN,"AED 4,085",AIR PREMIA,direct,12h 55m,https://www.kayak.ae/flights/LAX-ICN/2025-04-23/2025-04-30?sort=price_a
LAX,ICN,"AED 4,291",Cathay Pacific,1 stop,22h 35m,https://www.kayak.ae/flights/LAX-ICN/2025-04-23/2025-04-30?sort=price_a
LAX,ICN,"AED 4,353",Cathay Pacific,1 stop,32h 15m,https://www.kayak.ae/flights/LAX-ICN/2025-04-23/2025-04-30?sort=price_a
LAX,ICN,"AED 4,360",Cathay Pacific,1 stop,33h 40m,https://www.kayak.ae/flights/LAX-ICN/2025-04-23/2025-04-30?sort=price_a
LAX,ICN,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/LAX-ICN/2025-04-23/2025-04-30?sort=price_a
LAX,ICN,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/LAX-ICN/2025-04-23/2025-04-30?sort=price_a
LAX,HND,"AED 3,240",ANA,direct,11h 45m,https://www.kayak.ae/flights/LAX-HND/2025-04-23/2025-04-30?sort=price_a
LAX,HND,"AED 3,240",ANA,direct,11h 45m,https://www.kayak.ae/flights/LAX-HND/2025-04-23/2025-04-30?sort=price_a
LAX,HND,"AED 3,270",ANA,direct,11h 45m,https://www.kayak.ae/flights/LAX-HND/2025-04-23/2025-04-30?sort=price_a
LAX,HND,"AED 3,520",ANA,direct,11h 45m,https://www.kayak.ae/flights/LAX-HND/2025-04-23/2025-04-30?sort=price_a
LAX,HND,N/A,N/A,N/A,N/A,https://www.kayak.ae/flights/LAX-HND/2025-04-23/2025-04-30?sort=price_a
